Wnd,H2O,Hs,LE,Ustar,L
6.64936,2.778642,146.746,3.33095,0.33279,-20.5498
5.46729,2.822633999999999,178.875,2.51512,0.31171,-13.8541
3.45158,2.847654,172.587,3.70362,0.357518,-21.6626
1.20998,2.862072,183.802,4.38529,0.191102,-3.10571
1.45823,2.866661999999999,204.135,4.78048,0.313326,-12.3208
3.28463,2.94507,256.018,1.29175,0.306548,-9.19779
4.93371,2.941848,291.235,3.84501,0.232109,-3.50853
5.63935,3.020346,311.932,5.4672,0.34175,-10.4538
6.49052,3.155418,274.254,8.84973,0.381302,-16.5119
5.34457,3.374154,206.595,3.0393,0.355301,-17.7347
4.12993,3.512322,224.999,2.76674,0.315316,-11.3817
3.88697,3.376008,191.303,2.38427,0.253117,-6.92372
4.33986,3.374136,137.576,-0.266629,0.306324,-17.0625
3.16379,3.44124,74.637,-1.75843,0.278297,-23.5827
2.56328,3.478968,40.1682,-1.51033,0.185943,-13.07
2.36958,3.502584,7.49099,-2.48503,0.155354,-40.8826
2.69539,4.123296,-2.21244,-5.08649,0.263867,678.458
4.827,4.460345999999999,1.59915,-2.99678,0.231047,-630.478
4.29953,4.549391999999999,-5.94684,-3.36009,0.204701,117.954
3.85321,4.503672,-6.51958,-2.11243,0.152191,44.2228
4.06174,4.521401999999999,-8.55225,-4.06056,0.151739,33.4132
4.63484,4.894451999999999,-12.1636,-2.04748,0.193022,48.363
4.32613,5.021999999999999,-13.6124,-1.82549,0.178785,34.3434
4.33404,5.013233999999999,-11.1265,-1.59304,0.174844,39.2923
2.91936,4.939505999999999,-9.85077,-2.08183,0.135461,20.6379
2.72044,4.959449999999999,-4.77555,-0.668147,0.0949692,14.6694
2.68324,4.958208,-5.54134,-0.892354,0.0979286,13.861
2.44419,5.089823999999999,-4.90179,1.10455,0.129175,35.9634
2.13573,5.284278,-0.59943,-1.01808,0.118344,226.144
2.69122,5.356062,-0.834895,-1.08281,0.138976,262.914
2.82078,5.471315999999999,-2.39392,-0.384163,0.131433,77.5482
2.43919,5.517954,-2.34001,-1.43572,0.12324,65.395
1.9662,5.412276,2.16495,-1.21772,0.123258,-70.7076
2.67474,5.233337999999999,4.44814,0.600219,0.137886,-48.1794
2.99736,5.367114,4.22031,-1.33248,0.193131,-139.54
3.84772,5.578002,3.96641,2.50413,0.215764,-207.01
2.17947,5.746301999999999,0.58081,-0.630092,0.0935637,-115.302
2.82937,5.85747,1.10441,0.304684,0.154805,-274.653
3.54859,5.909832,-0.534958,-0.462078,0.199174,1207.52
3.73214,5.870466,-1.93961,-0.0158048,0.212204,402.752
3.84775,5.838498,-0.949204,-0.172446,0.221293,933.306
2.52141,5.879429999999999,-2.21407,-0.346916,0.141985,105.717
1.50895,5.87853,6.18112,0.859389,0.108071,-16.7051
1.28409,5.829893999999999,48.782,4.69848,0.180422,-9.85279
1.68121,5.844186,83.3758,5.70151,0.119577,-1.67855
1.54763,5.732352,85.6874,8.71245,0.129756,-2.08711
1.85331,5.680458,137.545,5.10492,0.186019,-3.8312
3.83185,5.58873,185.313,3.59664,0.268036,-8.50672
2.55822,5.672033999999999,179.987,5.06493,0.296436,-11.8483
2.29993,5.629607999999999,167.957,0.238142,0.223378,-5.43192
3.39863,5.425146,179.511,8.76647,0.230646,-5.59324
5.3715,5.4639,241.857,6.93156,0.376275,-18.0203
6.00928,5.129172,159.263,-1.62323,0.298886,-13.7113
7.44022,4.897206,206.865,1.99069,0.458151,-38.0095
8.07931,4.374179999999999,295.768,8.29398,0.483708,-31.2773
8.03106,4.253706,224.635,9.95802,0.434787,-29.9033
7.91597,3.922218,268.923,-6.49075,0.443961,-26.5875
8.11593,3.811392,203.747,2.89096,0.421066,-29.9332
6.95488,3.969917999999999,130.447,2.59072,0.355055,-28.0309
7.6412,3.798503999999999,122.001,3.85889,0.410889,-46.4443
8.17852,3.564054,96.1356,-2.00847,0.434995,-69.9269
7.94095,3.575358,89.3083,-2.68133,0.441443,-78.6771
7.75698,3.503826,31.9891,0.917554,0.358049,-117.213
6.86477,3.540293999999999,1.13943,1.04707,0.36766,-3563.48
5.40368,3.725352,-11.4745,-2.40757,0.273303,145.386
3.09458,3.558078,-8.18005,-1.17454,0.149431,33.3432
1.62843,3.5064,-0.430803,-0.0601001,0.0309356,5.61821
1.39197,3.477096,-0.891347,-0.144173,0.029123,2.26598
1.27946,3.430692,0.669651,0.22163,0.0330521,-4.41008
1.45939,3.364956,-2.45605,-0.416703,0.0452017,3.07577
1.50083,3.258162,4.20287,1.57154,0.0395822,-1.20688
1.78971,3.032226,1.72528,0.465561,0.0409302,-3.25036
1.95406,3.005244,-0.977255,-0.075788,0.0310175,2.49709
1.87219,2.928672,-2.41772,-0.213499,0.0538417,5.27893
2.29677,2.844468,-0.303683,0.324372,0.0530905,40.2917
2.24473,2.872854,-3.09183,-1.6635,0.0282023,0.593213
2.03118,2.913462,-6.17654,-1.70489,0.0593021,2.7608
2.07731,2.853936,2.02481,0.52168,0.0649041,-11.04
2.14384,2.889144,-3.60368,-0.542556,0.0675126,6.98099
